"Ages"
541
529
521
514
509
505
501
497
494
490
485
478
470
467
458
453
445
444
441
439
433
430
427
426
423
419
411
408
393
388
383
372
359
347
331
323
315
307
304
299
296
279
272
269
265
260
254
252
250
247
241
237
228
209
201
199
191
183
174
170
168
166
164
157
152
145
139
134
131
126
113
100
93.9
89.8
86.3
83.6
72.1
66.0
61.6
59.2
56.0
47.8
41.2
37.8
33.9
28.1
23
20.4
16
13.8
11.6
7.2
5.3
3.6
2.6
1.8
0.01
0
